wikimedia_language_code,bcp47_tag,bcp47_primary_language,iso_639_1,iso_639_2_bibliographic,iso_639_2_terminologic,iso_639_3,iso_scope,iso_language_type,iso_reference_name,mapping_type,mapping_confidence,mapping_note,language_name_english,language_name_native,wikipedia_url,api_url,analytics_project,database_name,site_name,status,is_active,is_closed,article_count,total_pages,total_edits,registered_users,active_users,administrators,files_local,pageviews_30_days,pageviews_365_days,pageviews_30_start,pageviews_30_end,pageviews_365_start,pageviews_365_end,date_established,date_established_source,statistics_retrieved_at_utc,pageviews_retrieved_at_utc,connector_error
en,en,en,en,eng,eng,eng,I,L,English,iso_registry_crosswalk,high,,English,English,https://en.wikipedia.org,https://en.wikipedia.org/w/api.php,en.wikipedia,enwiki,Wikipedia,active,True,False,7210802,65924306,1360156321,53717800,248649,814,972112,6510219343,81923530136,2026-06-19,2026-07-18,2025-07-19,2026-07-18,,,2026-07-19T08:26:07.176443+00:00,2026-07-19T08:26:07.176443+00:00,
ceb,ceb,ceb,,ceb,ceb,ceb,I,L,Cebuano,direct_iso_639_3,high,,Cebuano,Cebuano,https://ceb.wikipedia.org,https://ceb.wikipedia.org/w/api.php,ceb.wikipedia,cebwiki,Wikipedia,active,True,False,6115366,11234936,37001329,145127,205,6,3,13864283,127150673,2026-06-19,2026-07-18,2025-07-19,2026-07-18,,,2026-07-19T08:25:54.204256+00:00,2026-07-19T08:25:54.204256+00:00,
de,de,de,de,ger,deu,deu,I,L,German,iso_registry_crosswalk,high,,Deutsch,German,https://de.wikipedia.org,https://de.wikipedia.org/w/api.php,de.wikipedia,dewiki,Wikipedia,active,True,False,3136982,8587065,266569413,5252020,32685,161,129760,670488580,8537936040,2026-06-19,2026-07-18,2025-07-19,2026-07-18,,,2026-07-19T08:26:01.301792+00:00,2026-07-19T08:26:01.301792+00:00,
fr,fr,fr,fr,fre,fra,fra,I,L,French,iso_registry_crosswalk,high,,français,French,https://fr.wikipedia.org,https://fr.wikipedia.org/w/api.php,fr.wikipedia,frwiki,Wikipédia,active,True,False,2770070,14052638,237461663,5931238,32696,145,79079,554358802,7219642116,2026-06-19,2026-07-18,2025-07-19,2026-07-18,,,2026-07-19T08:26:13.611935+00:00,2026-07-19T08:26:13.611935+00:00,
sv,sv,sv,sv,swe,swe,swe,I,L,Swedish,iso_registry_crosswalk,high,,svenska,Swedish,https://sv.wikipedia.org,https://sv.wikipedia.org/w/api.php,sv.wikipedia,svwiki,Wikipedia,active,True,False,2626603,6373753,59387113,1053160,4010,65,0,69888211,806621543,2026-06-19,2026-07-18,2025-07-19,2026-07-18,,,2026-07-19T08:29:14.884286+00:00,2026-07-19T08:29:14.884286+00:00,
nl,nl,nl,nl,dut,nld,nld,I,L,Dutch,iso_registry_crosswalk,high,,Nederlands,Dutch,https://nl.wikipedia.org,https://nl.wikipedia.org/w/api.php,nl.wikipedia,nlwiki,Wikipedia,active,True,False,2223361,4789680,71440278,1589943,7212,33,20,97535970,1238597258,2026-06-19,2026-07-18,2025-07-19,2026-07-18,,,2026-07-19T08:28:11.118303+00:00,2026-07-19T08:28:11.118303+00:00,
es,es,es,es,spa,spa,spa,I,L,Spanish,iso_registry_crosswalk,high,,español,Spanish,https://es.wikipedia.org,https://es.wikipedia.org/w/api.php,es.wikipedia,eswiki,Wikipedia,active,True,False,2126150,8684996,173979227,8090438,36160,52,0,514485911,6664761494,2026-06-19,2026-07-18,2025-07-19,2026-07-18,,,2026-07-19T08:26:08.348196+00:00,2026-07-19T08:26:08.348196+00:00,
ru,ru,ru,ru,rus,rus,rus,I,L,Russian,iso_registry_crosswalk,high,,русский,Russian,https://ru.wikipedia.org,https://ru.wikipedia.org/w/api.php,ru.wikipedia,ruwiki,Википедия,active,True,False,2110213,8533057,153709240,4025525,16251,63,266623,544683517,8084025623,2026-06-19,2026-07-18,2025-07-19,2026-07-18,,,2026-07-19T08:28:31.247808+00:00,2026-07-19T08:28:31.247808+00:00,
it,it,it,it,ita,ita,ita,I,L,Italian,iso_registry_crosswalk,high,,italiano,Italian,https://it.wikipedia.org,https://it.wikipedia.org/w/api.php,it.wikipedia,itwiki,Wikipedia,active,True,False,1978121,8866620,151392646,3084012,25453,102,124239,341217825,4658311191,2026-06-19,2026-07-18,2025-07-19,2026-07-18,,,2026-07-19T08:27:04.410549+00:00,2026-07-19T08:27:04.410549+00:00,
pl,pl,pl,pl,pol,pol,pol,I,L,Polish,iso_registry_crosswalk,high,,polski,Polish,https://pl.wikipedia.org,https://pl.wikipedia.org/w/api.php,pl.wikipedia,plwiki,Wikipedia,active,True,False,1701922,4050784,80002829,1588523,9090,95,265,173443382,2288001104,2026-06-19,2026-07-18,2025-07-19,2026-07-18,,,2026-07-19T08:28:23.388742+00:00,2026-07-19T08:28:23.388742+00:00,
