date,code,language,url,pages,articles,edits,images,users,activeusers,admins,jobs
2026-07-15,ab,аԥсшәа,https://ab.wikipedia.org,37650,6633,169393,9,25232,41,2,0
2026-07-15,ace,Acèh,https://ace.wikipedia.org,28314,13073,158097,0,33416,37,3,0
2026-07-15,ady,адыгабзэ,https://ady.wikipedia.org,5027,646,17173,0,10586,19,1,0
2026-07-15,af,Afrikaans,https://af.wikipedia.org,440907,129812,2912847,10045,208530,251,15,0
2026-07-15,alt,алтай тил,https://alt.wikipedia.org,7274,1110,49117,0,4652,12,2,0
2026-07-15,am,አማርኛ,https://am.wikipedia.org,46749,15699,393536,1357,56789,60,1,0
2026-07-15,ami,Pangcah,https://ami.wikipedia.org,2316,1149,50105,0,3760,15,1,0
2026-07-15,an,aragonés,https://an.wikipedia.org,239547,84934,2454107,2190,90115,103,9,0
2026-07-15,ang,Ænglisc,https://ang.wikipedia.org,22102,5225,230320,264,139277,65,1,0
2026-07-15,ann,Obolo,https://ann.wikipedia.org,941,436,5105,0,1383,13,1,0
2026-07-15,anp,अंगिका,https://anp.wikipedia.org,5316,1688,23041,0,3908,9,1,0
2026-07-15,ar,العربية,https://ar.wikipedia.org,9169691,1323958,75780795,56426,2956984,5376,24,0
2026-07-15,arc,ܐܪܡܝܐ,https://arc.wikipedia.org,6360,1920,97575,0,23971,13,2,0
2026-07-15,ary,الدارجة,https://ary.wikipedia.org,106798,19184,571269,346,20834,47,3,0
2026-07-15,arz,مصرى,https://arz.wikipedia.org,2255005,1632406,13129201,1301,290961,336,7,0
2026-07-15,as,অসমীয়া,https://as.wikipedia.org,125921,24672,617083,2428,50200,158,6,0
2026-07-15,ast,asturianu,https://ast.wikipedia.org,249549,139160,4499009,0,149605,144,6,0
2026-07-15,atj,Atikamekw,https://atj.wikipedia.org,3308,2080,16983,0,6184,9,9,0
2026-07-15,av,авар,https://av.wikipedia.org,18760,4016,97570,0,17690,26,2,0
2026-07-15,avk,Kotava,https://avk.wikipedia.org,36367,29903,147695,0,8587,23,5,0
2026-07-15,awa,अवधी,https://awa.wikipedia.org,7547,2897,33400,0,5364,21,2,0
2026-07-15,ay,Aymar aru,https://ay.wikipedia.org,8990,5285,102949,0,19528,19,1,0
2026-07-15,az,azərbaycanca,https://az.wikipedia.org,682288,216050,8986129,14572,346010,767,13,0
2026-07-15,azb,تۆرکجه,https://azb.wikipedia.org,580527,244725,1590765,558,62593,90,4,0
2026-07-15,ba,башҡортса,https://ba.wikipedia.org,185138,64288,1300414,1430,47984,77,6,0
2026-07-15,ban,Basa Bali,https://ban.wikipedia.org,78568,38240,264197,141,102051,87,4,0
2026-07-15,bar,Boarisch,https://bar.wikipedia.org,110845,27230,852670,1153,80847,68,2,0
2026-07-15,bbc,Batak Toba,https://bbc.wikipedia.org,2880,1444,17219,0,2661,20,2,0
2026-07-15,bcl,Bikol Central,https://bcl.wikipedia.org,51623,22347,306786,798,31843,74,4,0
2026-07-15,bdr,Bajau Sama,https://bdr.wikipedia.org,1364,242,5753,0,1569,10,1,0
2026-07-15,be,беларуская,https://be.wikipedia.org,734827,264741,5157659,3619,169289,320,10,0
2026-07-15,be-tarask,беларуская (тарашкевіца),https://be-tarask.wikipedia.org,266623,91187,2671873,2275,98243,194,4,0
2026-07-15,bew,Betawi,https://bew.wikipedia.org,8035,3334,34758,0,3790,22,4,0
2026-07-15,bg,български,https://bg.wikipedia.org,705150,311188,12941237,13,399879,1537,19,0
2026-07-15,bh,भोजपुरी,https://bh.wikipedia.org,81966,9119,796982,54,40295,66,2,0
